metric,value
metric__fuel_kg,0.10981487527051619
metric__fuel_g,109.81487527051618
metric__fuel_energy_j,4722039.636632196
metric__fuel_energy_kwh,1.3116776768422767
metric__battery_discharge_j,71943.42608849297
metric__battery_discharge_kwh,0.01998428502458138
metric__brake_loss_j,907244.0902408032
metric__brake_loss_kwh,0.252012247289112
metric__equivalent_energy_j,4793983.062720689
metric__equivalent_energy_kwh,1.3316619618668581
metric__equivalent_energy_kwh_per_km,0.9431641442943335
metric__distance_m,1411.9090191487242
hard__speed_cap_max_violation,0.0
hard__hard_current_lane_safety_max_violation,0.0
hard__hard_lane_change_safety_max_violation,0.0
hard__raw_acc_bound_violation_before_slack,0.0
hard__raw_jerk_bound_violation_before_slack,1.3322676295501878e-15
hard__SOC_max_violation,0.0
hard__NS_stop_speed_max_violation,0.0
hard__NS_no_cross_max_violation,0.0
hard__SIG_entry_safe_to_clear_max_violation,0.0
hard__SIG_position_consistency_max_violation,0.0
hard__SIG_stopping_feasibility_max_violation,0.0
hard__SIG_downstream_clearance_max_violation,0.0
obj__J_safe_star,0.0
obj__J_perm_star,0.0
obj__J_dyn_star,0.0
obj__J_eco_star,-3960.9157153235765
obj__solver_status,OPTIMAL
obj__status_code,2
obj__mip_gap,3.900117102335926e-05
obj__runtime_sec,1.8429999351501465
