key,value
0,0.002
1,0.0019166666666666666
2,0.0018333333333333333
3,0.00175
4,0.0016666666666666666
5,0.0015833333333333335
6,0.0015
7,0.0014166666666666668
8,0.0013333333333333335
9,0.00125
10,0.0011666666666666665
11,0.0010833333333333333
12,0.0010000000000000002
13,0.0009166666666666665
14,0.0008333333333333335
15,0.0007499999999999998
16,0.0006666666666666668
17,0.0005833333333333335
18,0.0005
19,0.00041666666666666664
20,0.00033333333333333327
21,0.0002499999999999999
22,0.00016666666666666653
23,8.333333333333348e-05
24,1.0842021724855044e-19
25,-8.333333333333326e-05
26,-0.00016666666666666663
27,-0.00025
28,-0.00033333333333333343
29,-0.0004166666666666667
30,-0.0005000000000000001
31,-0.0005833333333333335
32,-0.0006666666666666665
33,-0.0007499999999999999
34,-0.0008333333333333333
35,-0.0009166666666666666
36,-0.001
37,-0.0009428571428571429
38,-0.0008857142857142857
39,-0.0008285714285714285
40,-0.0007714285714285713
41,-0.0007142857142857144
42,-0.0006571428571428571
43,-0.0006000000000000001
44,-0.0005428571428571429
45,-0.00048571428571428577
46,-0.0004285714285714286
47,-0.00037142857142857143
48,-0.00031428571428571427
49,-0.0002571428571428571
50,-0.00019999999999999993
51,-0.00014285714285714281
52,-8.571428571428575e-05
53,-2.8571428571428476e-05
54,2.8571428571428422e-05
55,8.571428571428559e-05
56,0.00014285714285714276
57,0.00019999999999999993
58,0.0002571428571428571
59,0.00031428571428571427
60,0.00037142857142857143
61,0.0004285714285714286
62,0.00048571428571428577
63,0.0005428571428571429
64,0.0006000000000000001
65,0.0006571428571428572
66,0.0007142857142857142
67,0.0007714285714285713
68,0.0008285714285714285
69,0.0008857142857142857
70,0.0009428571428571429
71,0.001
