metric,value
metric__fuel_kg,0.08990733885864569
metric__fuel_g,89.90733885864569
metric__fuel_energy_j,3866015.5709217647
metric__fuel_energy_kwh,1.0738932141449347
metric__battery_discharge_j,206644.07706766765
metric__battery_discharge_kwh,0.05740113251879657
metric__brake_loss_j,449567.96242182405
metric__brake_loss_kwh,0.12487998956161779
metric__equivalent_energy_j,4072659.6479894323
metric__equivalent_energy_kwh,1.1312943466637313
metric__equivalent_energy_kwh_per_km,0.6380304174792445
metric__distance_m,1773.1040960919909
hard__speed_cap_max_violation,0.0
hard__hard_current_lane_safety_max_violation,0.0
hard__hard_lane_change_safety_max_violation,0.0
hard__raw_acc_bound_violation_before_slack,0.0
hard__raw_jerk_bound_violation_before_slack,0.0
hard__SOC_max_violation,0.0
hard__NS_stop_speed_max_violation,0.0
hard__NS_no_cross_max_violation,0.0
hard__SIG_entry_safe_to_clear_max_violation,0.0
hard__SIG_position_consistency_max_violation,0.0
hard__SIG_stopping_feasibility_max_violation,0.0
hard__SIG_downstream_clearance_max_violation,0.0
obj__J_safe_star,0.0
obj__J_perm_star,0.0
obj__J_dyn_star,0.0
obj__J_eco_star,-5193.138173920135
obj__solver_status,OPTIMAL
obj__status_code,2
obj__mip_gap,7.20918455104961e-05
obj__runtime_sec,1.7000000476837158
