key,value
0,0.000837861001745539
1,0.0008082137946903896
2,0.0007780126782715396
3,0.0007472783508256023
4,0.0007160318761253958
5,0.0006842946689438835
6,0.0006520884803775579
7,0.000619435382939328
8,0.0005863577554311199
9,0.000552878267606562
10,0.0005190198646342724
11,0.0004848057513723837
12,0.00045025937646509136
13,0.0004154044162721277
14,0.00038026475864216515
15,0.00034486448654127717
16,0.00030922786154767936
17,0.0002733793072240537
18,0.00023734339237885713
19,0.0002011448142280911
20,0.00016480838146906137
21,0.0001283589972777345
22,9.182164224134907e-05
23,5.5221357237964164e-05
24,1.8583226274696705e-05
25,-1.8067640703606572e-05
26,-5.4706125023470385e-05
27,-9.130711649787442e-05
28,-0.00012784553063552363
29,-0.00016429632583250144
30,-0.00020063452053453886
31,-0.00023683521035811978
32,-0.00027287358515870337
33,-0.0003087249460343595
34,-0.00034436472225315886
35,-0.000379768488092727
36,-0.0004149119795804162
37,-0.0004497711111226168
38,-0.0004843219920118217
39,-0.0005185409428001256
40,-0.0005524045115279317
41,-0.0005858894897967582
42,-0.000618972928675111
43,-0.0006516321544265376
44,-0.000683844784049072
45,-0.000715588740615429
46,-0.0007468422684034227
47,-0.000777583947806257
48,-0.0008077927100124497
49,-0.000837447851445346
50,-0.0008665290479523154
51,-0.0008950163687339094
52,-0.0009228902900034389
53,-0.0009501317083675981
54,-0.0009767219539189805
55,-0.001002642803031497
56,-0.0010278764908499413
57,-0.0010524057234651328
58,-0.0010762136897663002
59,-0.0010992840729625757
60,-0.0011216010617657072
61,-0.0011431493612263275
62,-0.0011639142032163479
63,-0.001183881356550296
64,-0.0012030371367386568
65,-0.0012213684153665433
66,-0.0012388626290912512
67,-0.001255507788252549
68,-0.0012712924850897922
69,-0.0012862059015602307
70,-0.0013002378167531587
71,-0.0013133786138948122
72,-0.001325619286939228
73,-0.0013369514467405361
74,-0.0013473673268024635
75,-0.0013568597886011
76,-0.0013654223264772877
77,-0.0013730490720952754
78,-0.0013797347984645801
79,-0.0013854749235223086
80,-0.0013902655132734712
81,-0.001394103284487148
82,-0.0013969856069466506
83,-0.0013989105052521398
84,-0.0013998766601744682
85,-0.0013998834095593122
86,-0.001398930748780981
87,-0.0013970193307455854
88,-0.0013941504654435696
89,-0.001390326119051908
90,-0.0013855489125865878
91,-0.001379822120106293
92,-0.0013731496664685303
93,-0.0013655361246397264
94,-0.0013569867125611456
95,-0.0013475072895727744
96,-0.0013371043523976206
97,-0.0013257850306891863
98,-0.0013135570821451576
99,-0.001300428887190667
100,-0.001286409443234768
101,-0.0012715083585040621
102,-0.0012557358454576965
103,-0.00123910271378826
104,-0.0012216203630133534
105,-0.0012033007746629373
106,-0.0011841565040677817
107,-0.0011642006717546749
108,-0.0011434469544542687
109,-0.0011219095757277293
110,-0.00109960329621862
111,-0.0010765434035366925
112,-0.0010527457017805238
113,-0.001028226500706177
114,-0.0010030026045493047
115,-0.0009770913005083726
116,-0.0009505103468968714
117,-0.0009232779609726593
118,-0.0008954128064527587
119,-0.0008669339807221832
120,-0.0008378610017455391
121,-0.0008082137946903897
122,-0.0007780126782715393
123,-0.000747278350825602
124,-0.0007160318761253963
125,-0.0006842946689438836
126,-0.000652088480377558
127,-0.0006194353829393282
128,-0.0005863577554311206
129,-0.0005528782676065628
130,-0.0005190198646342732
131,-0.00048480575137238384
132,-0.0004502593764650915
133,-0.0004154044162721278
134,-0.00038026475864216466
135,-0.0003448644865412768
136,-0.00030922786154767893
137,-0.00027337930722405265
138,-0.0002373433923788573
139,-0.00020114481422809125
140,-0.00016480838146906216
141,-0.0001283589972777353
142,-9.182164224134924e-05
143,-5.522135723796434e-05
144,-1.8583226274696874e-05
145,1.8067640703606402e-05
146,5.470612502347022e-05
147,9.130711649787486e-05
148,0.0001278455306355241
149,0.00016429632583250125
150,0.00020063452053453864
151,0.00023683521035811837
152,0.0002728735851587026
153,0.0003087249460343599
154,0.0003443647222531581
155,0.0003797684880927268
156,0.000414911979580416
157,0.00044977111112261666
158,0.0004843219920118221
159,0.000518540942800126
160,0.0005524045115279315
161,0.0005858894897967581
162,0.0006189729286751108
163,0.0006516321544265375
164,0.0006838447840490714
165,0.0007155887406154283
166,0.0007468422684034237
167,0.0007775839478062579
168,0.0008077927100124495
169,0.0008374478514453459
170,0.0008665290479523153
171,0.0008950163687339087
172,0.0009228902900034383
173,0.000950131708367598
174,0.0009767219539189803
175,0.0010026428030314959
176,0.0010278764908499402
177,0.001052405723465133
178,0.001076213689766301
179,0.0010992840729625755
180,0.001121601061765707
181,0.0011431493612263275
182,0.0011639142032163479
183,0.001183881356550295
184,0.0012030371367386565
185,0.0012213684153665433
186,0.0012388626290912512
187,0.001255507788252549
188,0.0012712924850897922
189,0.001286205901560231
190,0.0013002378167531591
191,0.0013133786138948122
192,0.001325619286939228
193,0.0013369514467405361
194,0.001347367326802463
195,0.0013568597886010995
196,0.0013654223264772877
197,0.0013730490720952752
198,0.0013797347984645801
199,0.0013854749235223086
200,0.0013902655132734712
201,0.0013941032844871483
202,0.0013969856069466506
203,0.0013989105052521398
204,0.0013998766601744682
205,0.0013998834095593122
206,0.001398930748780981
207,0.0013970193307455856
208,0.0013941504654435696
209,0.001390326119051908
210,0.0013855489125865878
211,0.0013798221201062931
212,0.0013731496664685305
213,0.0013655361246397264
214,0.0013569867125611456
215,0.0013475072895727744
216,0.0013371043523976206
217,0.0013257850306891863
218,0.0013135570821451576
219,0.001300428887190667
220,0.0012864094432347682
221,0.0012715083585040617
222,0.001255735845457696
223,0.001239102713788259
224,0.001221620363013353
225,0.0012033007746629373
226,0.0011841565040677817
227,0.0011642006717546749
228,0.0011434469544542689
229,0.0011219095757277308
230,0.00109960329621862
231,0.0010765434035366927
232,0.001052745701780524
233,0.0010282265007061778
234,0.0010030026045493058
235,0.0009770913005083734
236,0.0009505103468968725
237,0.0009232779609726594
238,0.0008954128064527589
239,0.0008669339807221833
