metric,value
metric__fuel_kg,0.0541231736157652
metric__fuel_g,54.1231736157652
metric__fuel_energy_j,2327296.4654779034
metric__fuel_energy_kwh,0.6464712404105287
metric__battery_discharge_j,84797.51965747985
metric__battery_discharge_kwh,0.02355486657152218
metric__brake_loss_j,473423.86005052406
metric__brake_loss_kwh,0.13150662779181224
metric__equivalent_energy_j,2412093.9851353834
metric__equivalent_energy_kwh,0.670026106982051
metric__equivalent_energy_kwh_per_km,0.6065367658287666
metric__distance_m,1104.6751734275056
hard__speed_cap_max_violation,0.0
hard__hard_current_lane_safety_max_violation,0.0
hard__hard_lane_change_safety_max_violation,0.0
hard__raw_acc_bound_violation_before_slack,0.0
hard__raw_jerk_bound_violation_before_slack,0.0
hard__SOC_max_violation,0.0
hard__NS_stop_speed_max_violation,0.0
hard__NS_no_cross_max_violation,0.0
hard__SIG_entry_safe_to_clear_max_violation,0.0
hard__SIG_position_consistency_max_violation,0.0
hard__SIG_stopping_feasibility_max_violation,0.0
hard__SIG_downstream_clearance_max_violation,0.0
obj__J_safe_star,0.0
obj__J_perm_star,0.0
obj__J_dyn_star,0.0
obj__J_eco_star,-3198.135733271217
obj__solver_status,OPTIMAL
obj__status_code,2
obj__mip_gap,5.705653054441299e-05
obj__runtime_sec,5.203000068664551
