metric,value
metric__fuel_kg,0.10120902977669649
metric__fuel_g,101.2090297766965
metric__fuel_energy_j,4351988.280397949
metric__fuel_energy_kwh,1.2088856334438747
metric__battery_discharge_j,211287.90239702878
metric__battery_discharge_kwh,0.058691083999174665
metric__brake_loss_j,1026284.9483402967
metric__brake_loss_kwh,0.2850791523167491
metric__equivalent_energy_j,4563276.182794978
metric__equivalent_energy_kwh,1.2675767174430494
metric__equivalent_energy_kwh_per_km,0.931225746058576
metric__distance_m,1361.1916582075644
hard__speed_cap_max_violation,0.0
hard__hard_current_lane_safety_max_violation,0.0
hard__hard_lane_change_safety_max_violation,0.0
hard__raw_acc_bound_violation_before_slack,0.0
hard__raw_jerk_bound_violation_before_slack,1.2434497875801753e-14
hard__SOC_max_violation,0.0
hard__NS_stop_speed_max_violation,0.0
hard__NS_no_cross_max_violation,0.0
hard__SIG_entry_safe_to_clear_max_violation,0.0
hard__SIG_position_consistency_max_violation,3.410605131648481e-13
hard__SIG_stopping_feasibility_max_violation,1.8189894035458565e-12
hard__SIG_downstream_clearance_max_violation,0.0
obj__J_safe_star,0.0
obj__J_perm_star,0.0
obj__J_dyn_star,0.0
obj__J_eco_star,-3762.744417060032
obj__solver_status,OPTIMAL
obj__status_code,2
obj__mip_gap,9.578365101433584e-05
obj__runtime_sec,0.8429999351501465
