metric,value
metric__fuel_kg,0.07146026354636241
metric__fuel_g,71.46026354636241
metric__fuel_energy_j,3072791.3324935837
metric__fuel_energy_kwh,0.8535531479148843
metric__battery_discharge_j,82871.79172017888
metric__battery_discharge_kwh,0.023019942144494134
metric__brake_loss_j,642332.2635021069
metric__brake_loss_kwh,0.17842562875058524
metric__equivalent_energy_j,3155663.1242137626
metric__equivalent_energy_kwh,0.8765730900593784
metric__equivalent_energy_kwh_per_km,0.7053360601741694
metric__distance_m,1242.7736784688498
hard__speed_cap_max_violation,0.0
hard__hard_current_lane_safety_max_violation,0.0
hard__hard_lane_change_safety_max_violation,0.0
hard__raw_acc_bound_violation_before_slack,0.0
hard__raw_jerk_bound_violation_before_slack,1.9539925233402755e-14
hard__SOC_max_violation,0.0
hard__NS_stop_speed_max_violation,0.0
hard__NS_no_cross_max_violation,0.0
hard__SIG_entry_safe_to_clear_max_violation,0.0
hard__SIG_position_consistency_max_violation,0.0
hard__SIG_stopping_feasibility_max_violation,2.5346042775709066e-07
hard__SIG_downstream_clearance_max_violation,0.0
obj__J_safe_star,0.0
obj__J_perm_star,0.0
obj__J_dyn_star,0.0
obj__J_eco_star,-3534.4168900849545
obj__solver_status,OPTIMAL
obj__status_code,2
obj__mip_gap,7.615265754940109e-05
obj__runtime_sec,6.5340001583099365
