metric,value
metric__fuel_kg,0.07564378589238091
metric__fuel_g,75.6437858923809
metric__fuel_energy_j,3252682.793372379
metric__fuel_energy_kwh,0.9035229981589942
metric__battery_discharge_j,296646.00248486386
metric__battery_discharge_kwh,0.08240166735690663
metric__brake_loss_j,464601.8080746619
metric__brake_loss_kwh,0.1290560577985172
metric__equivalent_energy_j,3549328.7958572432
metric__equivalent_energy_kwh,0.9859246655159009
metric__equivalent_energy_kwh_per_km,0.7228265897766254
metric__distance_m,1363.9850545904524
hard__speed_cap_max_violation,0.0
hard__hard_current_lane_safety_max_violation,0.0
hard__hard_lane_change_safety_max_violation,0.0
hard__raw_acc_bound_violation_before_slack,0.0
hard__raw_jerk_bound_violation_before_slack,0.0
hard__SOC_max_violation,0.0
hard__NS_stop_speed_max_violation,0.0
hard__NS_no_cross_max_violation,0.0
hard__SIG_entry_safe_to_clear_max_violation,0.0
hard__SIG_position_consistency_max_violation,3.410605131648481e-12
hard__SIG_stopping_feasibility_max_violation,0.0
hard__SIG_downstream_clearance_max_violation,0.0
obj__J_safe_star,0.0
obj__J_perm_star,0.0
obj__J_dyn_star,0.0
obj__J_eco_star,-3940.424791105418
obj__solver_status,OPTIMAL
obj__status_code,2
obj__mip_gap,9.709465440275788e-05
obj__runtime_sec,0.07800006866455078
